X,Indicator,Data.Source,PUBLISH.STATES,Year,WHO.region,Country,Sex,Display.Value,Numeric
159,Children aged <5 years underweight (%),NLIS_311928,Published,1998,Africa,Cameroon,Male,20.1,20.1
161,Children aged <5 years underweight (%),NLIS_311931,Published,1994,Eastern Mediterranean,Pakistan,Female,36.5,36.5
162,Children aged <5 years underweight (%),NLIS_311993,Published,1998,Africa,Kenya,Female,15.1,15.1
163,Children aged <5 years underweight (%),NLIS_311996,Published,1998,Europe,Turkey,Male,7,7
167,Children aged <5 years underweight (%),NLIS_312017,Published,1999,Western Pacific,Mongolia,Male,11.3,11.3
168,Children aged <5 years underweight (%),NLIS_312045,Published,1995,Americas,Jamaica,Male,5,5
170,Children aged <5 years underweight (%),NLIS_312047,Published,1997,Americas,Jamaica,Female,3.2,3.2
172,Children aged <5 years underweight (%),NLIS_312082,Published,1999,Americas,Guatemala,Female,17.8,17.8
174,Children aged <5 years underweight (%),NLIS_312086,Published,1996,Western Pacific,Cambodia,Female,38.2,38.2
176,Children aged <5 years underweight (%),NLIS_312137,Published,1999,Africa,Burkina Faso,Male,35.2,35.2
179,Children aged <5 years underweight (%),NLIS_312191,Published,2000,Africa,Niger,Male,44.7,44.7
180,Children aged <5 years underweight (%),NLIS_312220,Published,2000,Africa,Ethiopia,Male,44.4,44.4
182,Children aged <5 years underweight (%),NLIS_312226,Published,2000,Africa,Algeria,Female,5.6,5.6
184,Children aged <5 years underweight (%),NLIS_312244,Published,2000,Europe,Azerbaijan,Female,15,15
186,Children aged <5 years underweight (%),NLIS_312277,Published,2000,Africa,Malawi,Female,20.1,20.1
187,Children aged <5 years underweight (%),NLIS_312278,Published,2001,Africa,Gabon,Male,10.1,10.1
189,Children aged <5 years underweight (%),NLIS_312282,Published,2000,Americas,Colombia,Female,5,5
191,Children aged <5 years underweight (%),NLIS_312312,Published,2000,Western Pacific,Cambodia,Male,40.5,40.5
193,Children aged <5 years underweight (%),NLIS_312317,Published,1998,Americas,Jamaica,Female,2.6,2.6
195,Children aged <5 years underweight (%),NLIS_312328,Published,2000,Africa,Gambia,Male,16.5,16.5
197,Children aged <5 years underweight (%),NLIS_312344,Published,2001,Europe,Armenia,Female,2.1,2.1
200,Children aged <5 years underweight (%),NLIS_312353,Published,2000,Africa,Botswana,Female,11,11
201,Children aged <5 years underweight (%),NLIS_312356,Published,2000,Americas,Dominican Republic,Male,4,4
203,Children aged <5 years underweight (%),NLIS_312358,Published,2000,Africa,Guinea-Bissau,Female,21.5,21.5
205,Children aged <5 years underweight (%),NLIS_312363,Published,2000,Africa,Comoros,Male,28,28
206,Children aged <5 years underweight (%),NLIS_312365,Published,2001,Americas,Honduras,Female,11.9,11.9
207,Children aged <5 years underweight (%),NLIS_312367,Published,2000,Africa,Sierra Leone,Male,28.2,28.2
209,Children aged <5 years underweight (%),NLIS_312370,Published,2000,Africa,Swaziland,Female,8.7,8.7
210,Children aged <5 years underweight (%),NLIS_312371,Published,1992,South-East Asia,Indonesia,Female,26,26
211,Children aged <5 years underweight (%),NLIS_312371,Published,1998,South-East Asia,Indonesia,Male,28.6,28.6
212,Children aged <5 years underweight (%),NLIS_312371,Published,2000,South-East Asia,Indonesia,Female,18.4,18.4
213,Children aged <5 years underweight (%),NLIS_312375,Published,1999,Eastern Mediterranean,Oman,Male,11.7,11.7
214,Children aged <5 years underweight (%),NLIS_312387,Published,2001,Africa,Mali,Female,28.5,28.5
215,Children aged <5 years underweight (%),NLIS_312388,Published,2001,Americas,Nicaragua,Male,8.4,8.4
216,Children aged <5 years underweight (%),NLIS_312394,Published,2000,Africa,Sao Tome and Principe,Female,8.8,8.8
217,Children aged <5 years underweight (%),NLIS_312414,Published,2000,Eastern Mediterranean,Iraq,Male,13.9,13.9
219,Children aged <5 years underweight (%),NLIS_312436,Published,2000,Western Pacific,Mongolia,Female,10.6,10.6
220,Children aged <5 years underweight (%),NLIS_312437,Published,2000,Africa,Liberia,Male,27.6,27.6
222,Children aged <5 years underweight (%),NLIS_312471,Published,2002,South-East Asia,Democratic People's Republic of Korea,Male,19.2,19.2
224,Children aged <5 years underweight (%),NLIS_312477,Published,2000,Europe,Romania,Female,2.8,2.8
225,Children aged <5 years underweight (%),NLIS_312477,Published,2001,Europe,Romania,Male,4.5,4.5
227,Children aged <5 years underweight (%),NLIS_312481,Published,2006,South-East Asia,Thailand,Female,7.1,7.1
229,Children aged <5 years underweight (%),NLIS_312522,Published,2002,Eastern Mediterranean,Jordan,Female,3.2,3.2
230,Children aged <5 years underweight (%),NLIS_312523,Published,1997,Eastern Mediterranean,Morocco,Male,8.2,8.2
231,Children aged <5 years underweight (%),NLIS_312529,Published,2002,South-East Asia,Timor-Leste,Female,38.1,38.1
233,Children aged <5 years underweight (%),NLIS_312535,Published,2002,South-East Asia,Indonesia,Female,20.7,20.7
234,Children aged <5 years underweight (%),NLIS_312536,Published,2000,Western Pacific,Singapore,Female,2.9,2.9
235,Children aged <5 years underweight (%),NLIS_312558,Published,2002,Americas,Guatemala,Female,17.5,17.5
237,Children aged <5 years underweight (%),NLIS_312568,Published,2000,Africa,Kenya,Female,15.2,15.2
238,Children aged <5 years underweight (%),NLIS_312580,Published,2002,Americas,Dominican Republic,Female,3.9,3.9
239,Children aged <5 years underweight (%),NLIS_312588,Published,2001,Eastern Mediterranean,Pakistan,Male,31.6,31.6
241,Children aged <5 years underweight (%),NLIS_312590,Published,2003,Africa,Kenya,Female,13.7,13.7
242,Children aged <5 years underweight (%),NLIS_312626,Published,2003,Africa,Burkina Faso,Male,36.8,36.8
244,Children aged <5 years underweight (%),NLIS_312628,Published,2003,Africa,Ghana,Female,17,17
245,Children aged <5 years underweight (%),NLIS_312629,Published,2002,Europe,Uzbekistan,Male,7.8,7.8
247,Children aged <5 years underweight (%),NLIS_312640,Published,2002,South-East Asia,Bangladesh,Female,43.1,43.1
248,Children aged <5 years underweight (%),NLIS_312644,Published,2002,Africa,Algeria,Male,12.7,12.7
252,Children aged <5 years underweight (%),NLIS_312666,Published,2004,Americas,Bolivia (Plurinational State of),Male,6.1,6.1
254,Children aged <5 years underweight (%),NLIS_312698,Published,2004,Africa,Cameroon,Male,15.3,15.3
255,Children aged <5 years underweight (%),NLIS_312729,Published,2000,Africa,Central African Republic,Female,19.5,19.5
256,Children aged <5 years underweight (%),NLIS_312756,Published,2004,Europe,The former Yugoslav Republic of Macedonia,Male,1.2,1.2
258,Children aged <5 years underweight (%),NLIS_312758,Published,2005,Eastern Mediterranean,Egypt,Female,4.2,4.2
259,Children aged <5 years underweight (%),NLIS_312759,Published,2005,Africa,Guinea,Male,24.4,24.4
261,Children aged <5 years underweight (%),NLIS_312762,Published,2005,Africa,Ethiopia,Female,32.8,32.8
262,Children aged <5 years underweight (%),NLIS_312764,Published,2002,Europe,Czech Republic,Male,2.5,2.5
264,Children aged <5 years underweight (%),NLIS_312766,Published,2005,Africa,United Republic of Tanzania,Female,15.4,15.4
265,Children aged <5 years underweight (%),NLIS_312767,Published,2005,Africa,Congo,Male,12.9,12.9
267,Children aged <5 years underweight (%),NLIS_312769,Published,2005,Americas,Argentina,Female,2.2,2.2
268,Children aged <5 years underweight (%),NLIS_312771,Published,2005,Americas,Colombia,Male,5.5,5.5
270,Children aged <5 years underweight (%),NLIS_312773,Published,2000,Americas,Jamaica,Female,3,3
271,Children aged <5 years underweight (%),NLIS_312774,Published,2001,Americas,Jamaica,Male,5.5,5.5
273,Children aged <5 years underweight (%),NLIS_312776,Published,2004,Americas,Jamaica,Female,2.4,2.4
274,Children aged <5 years underweight (%),NLIS_312778,Published,2002,Americas,Uruguay,Male,5.9,5.9
276,Children aged <5 years underweight (%),NLIS_312779,Published,2003,Americas,Brazil,Female,3.1,3.1
277,Children aged <5 years underweight (%),NLIS_312780,Published,2000,Western Pacific,Viet Nam,Female,26.7,26.7
278,Children aged <5 years underweight (%),NLIS_312781,Published,2004,Europe,Turkey,Male,3.1,3.1
280,Children aged <5 years underweight (%),NLIS_312783,Published,2006,Europe,Uzbekistan,Female,4.3,4.3
281,Children aged <5 years underweight (%),NLIS_312785,Published,2005,Europe,Armenia,Male,3.4,3.4
283,Children aged <5 years underweight (%),NLIS_312788,Published,2005,Europe,Republic of Moldova,Female,3.4,3.4
284,Children aged <5 years underweight (%),NLIS_312789,Published,2002,Western Pacific,China,Male,7.2,7.2
286,Children aged <5 years underweight (%),NLIS_312791,Published,2006,South-East Asia,Nepal,Female,39.8,39.8
287,Children aged <5 years underweight (%),NLIS_312793,Published,2006,Africa,Niger,Male,42.1,42.1
289,Children aged <5 years underweight (%),NLIS_312794,Published,2000,South-East Asia,Indonesia,Male,25.7,25.7
291,Children aged <5 years underweight (%),NLIS_312796,Published,2005,South-East Asia,Indonesia,Female,21.9,21.9
292,Children aged <5 years underweight (%),NLIS_312797,Published,2004,South-East Asia,Indonesia,Female,18.7,18.7
293,Children aged <5 years underweight (%),NLIS_312799,Published,2006,South-East Asia,India,Male,43.1,43.1
295,Children aged <5 years underweight (%),NLIS_312801,Published,2006,Western Pacific,Cambodia,Female,27.1,27.1
296,Children aged <5 years underweight (%),NLIS_312809,Published,2005,Eastern Mediterranean,Saudi Arabia,Male,6.1,6.1
298,Children aged <5 years underweight (%),NLIS_312824,Published,2005,Europe,Belarus,Female,1,1
299,Children aged <5 years underweight (%),NLIS_312826,Published,2006,Europe,Bosnia and Herzegovina,Male,2.2,2.2
301,Children aged <5 years underweight (%),NLIS_312828,Published,1991,South-East Asia,Bangladesh,Female,65.5,65.5
302,Children aged <5 years underweight (%),NLIS_312831,Published,1992,South-East Asia,Bangladesh,Male,63.5,63.5
304,Children aged <5 years underweight (%),NLIS_312835,Published,1994,South-East Asia,Bangladesh,Female,61.2,61.2
305,Children aged <5 years underweight (%),NLIS_312839,Published,1996,South-East Asia,Bangladesh,Male,56.4,56.4
307,Children aged <5 years underweight (%),NLIS_312849,Published,2004,South-East Asia,Bangladesh,Female,40.7,40.7
309,Children aged <5 years underweight (%),NLIS_312854,Published,2006,Africa,Côte d'Ivoire,Male,18.8,18.8
312,Children aged <5 years underweight (%),NLIS_312860,Published,2006,Europe,Kazakhstan,Female,4.3,4.3
313,Children aged <5 years underweight (%),NLIS_312862,Published,2005,Europe,Tajikistan,Male,16.4,16.4
315,Children aged <5 years underweight (%),NLIS_312867,Published,2005,Africa,Sierra Leone,Female,26,26
316,Children aged <5 years underweight (%),NLIS_312870,Published,2007,Americas,Brazil,Female,2.1,2.1
317,Children aged <5 years underweight (%),NLIS_312872,Published,2005,Western Pacific,Mongolia,Male,5.3,5.3
319,Children aged <5 years underweight (%),NLIS_312874,Published,2007,Africa,Namibia,Female,16.5,16.5
320,Children aged <5 years underweight (%),NLIS_312878,Published,2006,South-East Asia,Bangladesh,Male,39.3,39.3
322,Children aged <5 years underweight (%),NLIS_312880,Published,2006,Eastern Mediterranean,Syrian Arab Republic,Female,8.3,8.3
323,Children aged <5 years underweight (%),NLIS_312881,Published,2006,Americas,Belize,Male,4,4
325,Children aged <5 years underweight (%),NLIS_312883,Published,2006,Africa,Ghana,Female,12.5,12.5
326,Children aged <5 years underweight (%),NLIS_312885,Published,2006,Africa,Uganda,Male,18.2,18.2
328,Children aged <5 years underweight (%),NLIS_312887,Published,2007,Americas,Guyana,Female,10,10
329,Children aged <5 years underweight (%),NLIS_312888,Published,2007,Africa,Democratic Republic of the Congo,Male,30.4,30.4
331,Children aged <5 years underweight (%),NLIS_312890,Published,2006,Africa,Malawi,Female,13.9,13.9
332,Children aged <5 years underweight (%),NLIS_312893,Published,2007,Africa,Zambia,Male,16.9,16.9
334,Children aged <5 years underweight (%),NLIS_312895,Published,2007,Africa,Mauritania,Female,22.8,22.8
336,Children aged <5 years underweight (%),NLIS_312910,Published,2007,Americas,Jamaica,Male,1.9,1.9
337,Children aged <5 years underweight (%),NLIS_312913,Published,2004,Eastern Mediterranean,Lebanon,Female,2.8,2.8
338,Children aged <5 years underweight (%),NLIS_312916,Published,2007,South-East Asia,Indonesia,Male,20.7,20.7
340,Children aged <5 years underweight (%),NLIS_312918,Published,2006,Africa,Burkina Faso,Female,35.8,35.8
341,Children aged <5 years underweight (%),NLIS_312919,Published,2007,Americas,Dominican Republic,Male,3.2,3.2
343,Children aged <5 years underweight (%),NLIS_312921,Published,2006,Western Pacific,Lao People's Democratic Republic,Female,30.6,30.6
344,Children aged <5 years underweight (%),NLIS_312923,Published,2007,Eastern Mediterranean,Libya,Male,6.3,6.3
346,Children aged <5 years underweight (%),NLIS_312925,Published,2008,Eastern Mediterranean,Egypt,Female,5.4,5.4
347,Children aged <5 years underweight (%),NLIS_312928,Published,2007,South-East Asia,Bangladesh,Male,40.2,40.2
349,Children aged <5 years underweight (%),NLIS_312932,Published,2005,Americas,Peru,Female,4.8,4.8
350,Children aged <5 years underweight (%),NLIS_312939,Published,2006,Europe,Germany,Male,0.9,0.9
352,Children aged <5 years underweight (%),NLIS_312946,Published,2009,Africa,Sao Tome and Principe,Male,16.6,16.6
356,Children aged <5 years underweight (%),NLIS_312951,Published,2002,Western Pacific,Viet Nam,Female,23,23
357,Children aged <5 years underweight (%),NLIS_312951,Published,2004,Western Pacific,Viet Nam,Male,24.1,24.1
359,Children aged <5 years underweight (%),NLIS_312951,Published,2005,Western Pacific,Viet Nam,Female,22.6,22.6
360,Children aged <5 years underweight (%),NLIS_312951,Published,2007,Western Pacific,Viet Nam,Male,23.2,23.2
362,Children aged <5 years underweight (%),NLIS_312954,Published,2008,Africa,Guinea,Female,19.7,19.7
363,Children aged <5 years underweight (%),NLIS_312955,Published,2008,Africa,Guinea-Bissau,Female,17,17
365,Children aged <5 years underweight (%),NLIS_312963,Published,2008,Africa,Ghana,Male,15.7,15.7
367,Children aged <5 years underweight (%),NLIS_312965,Published,2005,Africa,Algeria,Female,3.7,3.7
368,Children aged <5 years underweight (%),NLIS_312967,Published,2008,South-East Asia,Bhutan,Male,10.5,10.5
370,Children aged <5 years underweight (%),NLIS_312981,Published,1997,Africa,Equatorial Guinea,Female,12.2,12.2
371,Children aged <5 years underweight (%),NLIS_313003,Published,1990,Western Pacific,China,Male,13.1,13.1
373,Children aged <5 years underweight (%),NLIS_313005,Published,1998,Western Pacific,China,Female,6.6,6.6
375,Children aged <5 years underweight (%),NLIS_313010,Published,2002,Eastern Mediterranean,Kuwait,Male,2.6,2.6
377,Children aged <5 years underweight (%),NLIS_313010,Published,2005,Eastern Mediterranean,Kuwait,Male,2.9,2.9
379,Children aged <5 years underweight (%),NLIS_313020,Published,2009,Africa,Kenya,Female,15.5,15.5
382,Children aged <5 years underweight (%),NLIS_313040,Published,2006,Americas,Suriname,Male,8,8
384,Children aged <5 years underweight (%),NLIS_313048,Published,2006,Eastern Mediterranean,Kuwait,Female,3.4,3.4
385,Children aged <5 years underweight (%),NLIS_313048,Published,2007,Eastern Mediterranean,Kuwait,Male,3.1,3.1
387,Children aged <5 years underweight (%),NLIS_313048,Published,2009,Eastern Mediterranean,Kuwait,Female,1.5,1.5
389,Children aged <5 years underweight (%),NLIS_313054,Published,2007,Africa,Côte d'Ivoire,Male,30.3,30.3
391,Children aged <5 years underweight (%),NLIS_313062,Published,2009,Europe,Albania,Female,6,6
392,Children aged <5 years underweight (%),NLIS_313063,Published,2009,South-East Asia,Maldives,Male,18.4,18.4
393,Children aged <5 years underweight (%),NLIS_313066,Published,2010,South-East Asia,Timor-Leste,Male,46.8,46.8
395,Children aged <5 years underweight (%),NLIS_313068,Published,2009,Eastern Mediterranean,Syrian Arab Republic,Female,8.7,8.7
396,Children aged <5 years underweight (%),NLIS_313071,Published,2007,Americas,Nicaragua,Male,5.6,5.6
398,Children aged <5 years underweight (%),NLIS_313073,Published,2009,Americas,Costa Rica,Female,1.8,1.8
399,Children aged <5 years underweight (%),NLIS_313074,Published,2009,South-East Asia,Democratic People's Republic of Korea,Male,18.8,18.8
400,Children aged <5 years underweight (%),NLIS_313076,Published,2010,Africa,United Republic of Tanzania,Female,14.6,14.6
401,Children aged <5 years underweight (%),NLIS_313082,Published,2009,Europe,Georgia,Female,1,1
402,Children aged <5 years underweight (%),NLIS_313083,Published,2006,Western Pacific,Malaysia,Female,12.7,12.7
403,Children aged <5 years underweight (%),NLIS_313086,Published,2007,Africa,Angola,Male,16.6,16.6
407,Children aged <5 years underweight (%),NLIS_313092,Published,2008,Africa,Botswana,Male,12.1,12.1
409,Children aged <5 years underweight (%),NLIS_313095,Published,2008,Africa,Mozambique,Female,16,16
410,Children aged <5 years underweight (%),NLIS_313097,Published,2011,Western Pacific,Cambodia,Male,28.8,28.8
412,Children aged <5 years underweight (%),NLIS_313099,Published,2009,Africa,Malawi,Female,11.3,11.3
413,Children aged <5 years underweight (%),NLIS_313106,Published,2005,Africa,South Africa,Female,9.6,9.6
414,Children aged <5 years underweight (%),NLIS_313109,Published,2008,South-East Asia,Timor-Leste,Male,52.5,52.5
415,Children aged <5 years underweight (%),NLIS_313110,Published,2011,Africa,Zimbabwe,Male,11.5,11.5
417,Children aged <5 years underweight (%),NLIS_313112,Published,2008,Americas,Panama,Male,2.8,2.8
419,Children aged <5 years underweight (%),NLIS_313113,Published,2011,Eastern Mediterranean,Pakistan,Male,31.4,31.4
421,Children aged <5 years underweight (%),NLIS_313115,Published,2011,Eastern Mediterranean,Morocco,Female,3.1,3.1
423,Children aged <5 years underweight (%),NLIS_313122,Published,2006,Africa,Central African Republic,Female,25.4,25.4
425,Children aged <5 years underweight (%),NLIS_313126,Published,2012,Eastern Mediterranean,Djibouti,Female,28.5,28.5
426,Children aged <5 years underweight (%),NLIS_313127,Published,1999,Americas,Uruguay,Female,4.2,4.2
427,Children aged <5 years underweight (%),NLIS_313127,Published,2003,Americas,Uruguay,Male,6.5,6.5
428,Children aged <5 years underweight (%),NLIS_313127,Published,2011,Americas,Uruguay,Female,4.2,4.2
431,Children aged <5 years underweight (%),NLIS_313129,Published,2010,Americas,Jamaica,Male,3.8,3.8
433,Children aged <5 years underweight (%),NLIS_313131,Published,2011,Africa,Uganda,Female,12.8,12.8
434,Children aged <5 years underweight (%),NLIS_313134,Published,2010,Africa,Sierra Leone,Male,22.6,22.6
436,Children aged <5 years underweight (%),NLIS_313136,Published,2010,Africa,Burkina Faso,Female,24.7,24.7
437,Children aged <5 years underweight (%),NLIS_313139,Published,2012,Americas,Mexico,Male,2.8,2.8
439,Children aged <5 years underweight (%),NLIS_313141,Published,2012,Africa,Senegal,Female,13.2,13.2
440,Children aged <5 years underweight (%),NLIS_313143,Published,2011,Western Pacific,Philippines,Male,20.1,20.1
442,Children aged <5 years underweight (%),NLIS_313144,Published,2010,Eastern Mediterranean,Kuwait,Female,1.5,1.5
443,Children aged <5 years underweight (%),NLIS_310187,Published,1981,Americas,Barbados,Male,5,5
451,Children aged <5 years underweight (%),NLIS_310222,Published,1987,Americas,Trinidad and Tobago,Male,4.7,4.7
454,Children aged <5 years underweight (%),NLIS_310240,Published,1975,Eastern Mediterranean,Tunisia,Male,15.5,15.5
457,Children aged <5 years underweight (%),NLIS_310282,Published,1975,South-East Asia,Nepal,Female,60.3,60.3
459,Children aged <5 years underweight (%),NLIS_310309,Published,1987,South-East Asia,Thailand,Male,18.7,18.7
461,Children aged <5 years underweight (%),NLIS_310319,Published,1977,Western Pacific,Singapore,Male,13.6,13.6
464,Children aged <5 years underweight (%),NLIS_310363,Published,1992,Americas,Peru,Female,7.9,7.9
465,Children aged <5 years underweight (%),NLIS_310365,Published,1991,Americas,Dominican Republic,Male,9.3,9.3
467,Children aged <5 years underweight (%),NLIS_310375,Published,1991,Africa,Cameroon,Male,17.6,17.6
470,Children aged <5 years underweight (%),NLIS_310426,Published,1988,Africa,Ghana,Female,23.4,23.4
471,Children aged <5 years underweight (%),NLIS_310430,Published,1989,Americas,Mexico,Male,14.6,14.6
473,Children aged <5 years underweight (%),NLIS_310439,Published,1988,Africa,Togo,Male,22.6,22.6
474,Children aged <5 years underweight (%),NLIS_310441,Published,1987,Eastern Mediterranean,Morocco,Female,13,13
475,Children aged <5 years underweight (%),NLIS_310442,Published,1991,Eastern Mediterranean,Egypt,Male,11.9,11.9
476,Children aged <5 years underweight (%),NLIS_310444,Published,1990,Africa,Mauritania,Male,44.6,44.6
479,Children aged <5 years underweight (%),NLIS_310473,Published,1992,Africa,United Republic of Tanzania,Female,23.3,23.3
480,Children aged <5 years underweight (%),NLIS_310526,Published,1992,Africa,Niger,Male,42.1,42.1
482,Children aged <5 years underweight (%),NLIS_310537,Published,1991,Eastern Mediterranean,Pakistan,Female,37.6,37.6
483,Children aged <5 years underweight (%),NLIS_310561,Published,1992,Eastern Mediterranean,Morocco,Male,8.4,8.4
486,Children aged <5 years underweight (%),NLIS_310689,Published,1992,Eastern Mediterranean,Yemen,Male,31.2,31.2
488,Children aged <5 years underweight (%),NLIS_310750,Published,1992,Africa,Algeria,Female,8.6,8.6
490,Children aged <5 years underweight (%),NLIS_311002,Published,1993,Africa,Kenya,Male,22.4,22.4
