date,visits,simplystats,julian
7/1/2011,8,0,15156
7/2/2011,6,0,15157
7/3/2011,0,0,15158
7/4/2011,2,0,15159
7/5/2011,9,0,15160
7/6/2011,7,0,15161
7/7/2011,5,0,15162
7/8/2011,6,0,15163
7/9/2011,1,0,15164
7/10/2011,6,0,15165
7/11/2011,10,0,15166
7/12/2011,6,0,15167
7/13/2011,9,0,15168
7/14/2011,3,0,15169
7/15/2011,7,0,15170
7/16/2011,2,0,15171
7/17/2011,1,0,15172
7/18/2011,9,0,15173
7/19/2011,5,0,15174
7/20/2011,5,0,15175
7/21/2011,5,0,15176
7/22/2011,5,0,15177
7/23/2011,2,0,15178
7/24/2011,2,0,15179
7/25/2011,10,0,15180
7/26/2011,6,0,15181
7/27/2011,6,0,15182
7/28/2011,9,0,15183
7/29/2011,10,0,15184
7/30/2011,2,0,15185
7/31/2011,2,0,15186
8/1/2011,6,0,15187
8/2/2011,7,0,15188
8/3/2011,6,0,15189
8/4/2011,14,0,15190
8/5/2011,11,0,15191
8/6/2011,6,0,15192
8/7/2011,5,0,15193
8/8/2011,6,0,15194
8/9/2011,10,0,15195
8/10/2011,5,0,15196
8/11/2011,11,0,15197
8/12/2011,9,0,15198
8/13/2011,2,0,15199
8/14/2011,2,0,15200
8/15/2011,3,0,15201
8/16/2011,14,0,15202
8/17/2011,14,0,15203
8/18/2011,17,0,15204
8/19/2011,9,0,15205
8/20/2011,6,0,15206
8/21/2011,8,0,15207
8/22/2011,6,0,15208
8/23/2011,5,0,15209
8/24/2011,10,0,15210
8/25/2011,4,0,15211
8/26/2011,6,0,15212
8/27/2011,3,0,15213
8/28/2011,5,0,15214
8/29/2011,6,0,15215
8/30/2011,9,0,15216
8/31/2011,5,0,15217
9/1/2011,6,0,15218
9/2/2011,8,0,15219
9/3/2011,2,0,15220
9/4/2011,2,0,15221
9/5/2011,4,0,15222
9/6/2011,10,0,15223
9/7/2011,12,0,15224
9/8/2011,8,0,15225
9/9/2011,6,0,15226
9/10/2011,5,0,15227
9/11/2011,3,0,15228
9/12/2011,30,0,15229
9/13/2011,27,0,15230
9/14/2011,13,0,15231
9/15/2011,7,0,15232
9/16/2011,11,0,15233
9/17/2011,6,0,15234
9/18/2011,7,0,15235
9/19/2011,6,0,15236
9/20/2011,8,0,15237
9/21/2011,3,0,15238
9/22/2011,7,0,15239
9/23/2011,16,0,15240
9/24/2011,7,0,15241
9/25/2011,6,0,15242
9/26/2011,14,0,15243
9/27/2011,15,0,15244
9/28/2011,10,0,15245
9/29/2011,17,0,15246
9/30/2011,9,0,15247
10/1/2011,7,0,15248
10/2/2011,4,0,15249
10/3/2011,11,0,15250
10/4/2011,15,0,15251
10/5/2011,12,0,15252
10/6/2011,9,0,15253
10/7/2011,10,0,15254
10/8/2011,8,0,15255
10/9/2011,4,0,15256
10/10/2011,11,0,15257
10/11/2011,6,0,15258
10/12/2011,9,0,15259
10/13/2011,2,0,15260
10/14/2011,4,0,15261
10/15/2011,4,0,15262
10/16/2011,1,0,15263
10/17/2011,16,0,15264
10/18/2011,11,0,15265
10/19/2011,13,0,15266
10/20/2011,8,0,15267
10/21/2011,6,0,15268
10/22/2011,2,0,15269
10/23/2011,3,0,15270
10/24/2011,14,0,15271
10/25/2011,4,0,15272
10/26/2011,6,0,15273
10/27/2011,11,0,15274
10/28/2011,8,0,15275
10/29/2011,8,0,15276
10/30/2011,10,0,15277
10/31/2011,16,0,15278
11/1/2011,20,0,15279
11/2/2011,16,0,15280
11/3/2011,14,0,15281
11/4/2011,4,0,15282
11/5/2011,5,0,15283
11/6/2011,4,0,15284
11/7/2011,13,0,15285
11/8/2011,10,0,15286
11/9/2011,22,0,15287
11/10/2011,19,0,15288
11/11/2011,13,0,15289
11/12/2011,5,0,15290
11/13/2011,8,0,15291
11/14/2011,11,0,15292
11/15/2011,20,0,15293
11/16/2011,15,0,15294
11/17/2011,21,0,15295
11/18/2011,15,0,15296
11/19/2011,6,0,15297
11/20/2011,3,0,15298
11/21/2011,15,0,15299
11/22/2011,9,0,15300
11/23/2011,13,0,15301
11/24/2011,3,0,15302
11/25/2011,5,0,15303
11/26/2011,8,0,15304
11/27/2011,6,0,15305
11/28/2011,14,0,15306
11/29/2011,20,0,15307
11/30/2011,18,0,15308
12/1/2011,11,0,15309
12/2/2011,8,0,15310
12/3/2011,5,0,15311
12/4/2011,8,0,15312
12/5/2011,8,0,15313
12/6/2011,14,0,15314
12/7/2011,6,0,15315
12/8/2011,14,0,15316
12/9/2011,7,0,15317
12/10/2011,4,0,15318
12/11/2011,6,0,15319
12/12/2011,10,0,15320
12/13/2011,8,0,15321
12/14/2011,6,0,15322
12/15/2011,11,0,15323
12/16/2011,13,0,15324
12/17/2011,7,0,15325
12/18/2011,10,0,15326
12/19/2011,9,0,15327
12/20/2011,19,0,15328
12/21/2011,15,0,15329
12/22/2011,10,0,15330
12/23/2011,3,0,15331
12/24/2011,2,0,15332
12/25/2011,1,0,15333
12/26/2011,3,0,15334
12/27/2011,4,0,15335
12/28/2011,9,0,15336
12/29/2011,7,0,15337
12/30/2011,4,0,15338
12/31/2011,5,0,15339
1/1/2012,11,0,15340
1/2/2012,4,0,15341
1/3/2012,10,0,15342
1/4/2012,18,0,15343
1/5/2012,33,0,15344
1/6/2012,17,0,15345
1/7/2012,6,0,15346
1/8/2012,6,0,15347
1/9/2012,18,0,15348
1/10/2012,12,0,15349
1/11/2012,10,0,15350
1/12/2012,26,0,15351
1/13/2012,10,0,15352
1/14/2012,7,0,15353
1/15/2012,6,0,15354
1/16/2012,21,0,15355
1/17/2012,11,0,15356
1/18/2012,12,0,15357
1/19/2012,12,0,15358
1/20/2012,13,0,15359
1/21/2012,2,0,15360
1/22/2012,3,0,15361
1/23/2012,10,0,15362
1/24/2012,12,0,15363
1/25/2012,10,0,15364
1/26/2012,17,0,15365
1/27/2012,14,0,15366
1/28/2012,6,0,15367
1/29/2012,10,0,15368
1/30/2012,22,0,15369
1/31/2012,25,0,15370
2/1/2012,11,0,15371
2/2/2012,12,0,15372
2/3/2012,9,0,15373
2/4/2012,7,0,15374
2/5/2012,2,0,15375
2/6/2012,9,0,15376
2/7/2012,13,0,15377
2/8/2012,10,0,15378
2/9/2012,19,0,15379
2/10/2012,14,0,15380
2/11/2012,10,0,15381
2/12/2012,10,0,15382
2/13/2012,17,0,15383
2/14/2012,16,0,15384
2/15/2012,13,0,15385
2/16/2012,18,0,15386
2/17/2012,12,0,15387
2/18/2012,7,0,15388
2/19/2012,11,0,15389
2/20/2012,13,0,15390
2/21/2012,13,0,15391
2/22/2012,10,0,15392
2/23/2012,19,0,15393
2/24/2012,14,0,15394
2/25/2012,4,0,15395
2/26/2012,6,0,15396
2/27/2012,16,0,15397
2/28/2012,14,0,15398
2/29/2012,17,0,15399
3/1/2012,12,0,15400
3/2/2012,12,0,15401
3/3/2012,7,0,15402
3/4/2012,8,0,15403
3/5/2012,16,0,15404
3/6/2012,9,0,15405
3/7/2012,14,0,15406
3/8/2012,12,0,15407
3/9/2012,16,0,15408
3/10/2012,2,0,15409
3/11/2012,7,0,15410
3/12/2012,9,0,15411
3/13/2012,9,0,15412
3/14/2012,12,0,15413
3/15/2012,5,0,15414
3/16/2012,7,0,15415
3/17/2012,1,0,15416
3/18/2012,7,0,15417
3/19/2012,12,0,15418
3/20/2012,22,0,15419
3/21/2012,19,0,15420
3/22/2012,17,0,15421
3/23/2012,16,0,15422
3/24/2012,6,0,15423
3/25/2012,2,0,15424
3/26/2012,20,0,15425
3/27/2012,27,0,15426
3/28/2012,16,0,15427
3/29/2012,19,0,15428
3/30/2012,10,0,15429
3/31/2012,6,0,15430
4/1/2012,4,0,15431
4/2/2012,9,0,15432
4/3/2012,14,0,15433
4/4/2012,22,0,15434
4/5/2012,20,0,15435
4/6/2012,19,0,15436
4/7/2012,7,0,15437
4/8/2012,5,0,15438
4/9/2012,15,0,15439
4/10/2012,17,0,15440
4/11/2012,15,0,15441
4/12/2012,30,0,15442
4/13/2012,6,0,15443
4/14/2012,12,0,15444
4/15/2012,6,0,15445
4/16/2012,10,0,15446
4/17/2012,23,0,15447
4/18/2012,17,0,15448
4/19/2012,19,0,15449
4/20/2012,19,0,15450
4/21/2012,8,0,15451
4/22/2012,10,0,15452
4/23/2012,14,0,15453
4/24/2012,17,0,15454
4/25/2012,8,0,15455
4/26/2012,20,0,15456
4/27/2012,10,0,15457
4/28/2012,8,0,15458
4/29/2012,11,0,15459
4/30/2012,14,0,15460
5/1/2012,24,0,15461
5/2/2012,21,0,15462
5/3/2012,12,0,15463
5/4/2012,16,0,15464
5/5/2012,2,0,15465
5/6/2012,9,0,15466
5/7/2012,15,0,15467
5/8/2012,16,0,15468
5/9/2012,13,0,15469
5/10/2012,15,0,15470
5/11/2012,6,0,15471
5/12/2012,10,0,15472
5/13/2012,8,0,15473
5/14/2012,18,0,15474
5/15/2012,20,0,15475
5/16/2012,12,0,15476
5/17/2012,9,0,15477
5/18/2012,10,0,15478
5/19/2012,6,0,15479
5/20/2012,7,0,15480
5/21/2012,17,0,15481
5/22/2012,18,0,15482
5/23/2012,16,0,15483
5/24/2012,17,0,15484
5/25/2012,8,0,15485
5/26/2012,3,0,15486
5/27/2012,3,0,15487
5/28/2012,12,0,15488
5/29/2012,17,0,15489
5/30/2012,11,0,15490
5/31/2012,11,0,15491
6/1/2012,10,0,15492
6/2/2012,7,0,15493
6/3/2012,9,0,15494
6/4/2012,25,0,15495
6/5/2012,13,0,15496
6/6/2012,20,0,15497
6/7/2012,19,0,15498
6/8/2012,14,0,15499
6/9/2012,3,0,15500
6/10/2012,6,0,15501
6/11/2012,10,0,15502
6/12/2012,7,0,15503
6/13/2012,16,0,15504
6/14/2012,11,0,15505
6/15/2012,8,0,15506
6/16/2012,3,0,15507
6/17/2012,5,0,15508
6/18/2012,20,0,15509
6/19/2012,12,0,15510
6/20/2012,8,0,15511
6/21/2012,15,0,15512
6/22/2012,12,4,15513
6/23/2012,13,1,15514
6/24/2012,11,7,15515
6/25/2012,9,6,15516
6/26/2012,15,6,15517
6/27/2012,17,3,15518
6/28/2012,18,3,15519
6/29/2012,13,5,15520
6/30/2012,5,2,15521
7/1/2012,2,0,15522
7/2/2012,17,3,15523
7/3/2012,12,3,15524
7/4/2012,8,3,15525
7/5/2012,8,2,15526
7/6/2012,14,7,15527
7/7/2012,5,2,15528
7/8/2012,6,2,15529
7/9/2012,9,2,15530
7/10/2012,9,1,15531
7/11/2012,30,10,15532
7/12/2012,16,4,15533
7/13/2012,15,3,15534
7/14/2012,9,2,15535
7/15/2012,2,1,15536
7/16/2012,12,2,15537
7/17/2012,50,8,15538
7/18/2012,57,13,15539
7/19/2012,51,22,15540
7/20/2012,33,14,15541
7/21/2012,10,4,15542
7/22/2012,16,4,15543
7/23/2012,29,10,15544
7/24/2012,33,9,15545
7/25/2012,26,6,15546
7/26/2012,22,8,15547
7/27/2012,15,5,15548
7/28/2012,10,1,15549
7/29/2012,14,2,15550
7/30/2012,69,37,15551
7/31/2012,47,18,15552
8/1/2012,36,9,15553
8/2/2012,17,6,15554
8/3/2012,24,5,15555
8/4/2012,19,4,15556
8/5/2012,12,5,15557
8/6/2012,25,8,15558
8/7/2012,17,3,15559
8/8/2012,26,9,15560
8/9/2012,79,40,15561
8/10/2012,68,38,15562
8/11/2012,33,24,15563
8/12/2012,24,13,15564
8/13/2012,26,9,15565
8/14/2012,52,29,15566
8/15/2012,33,14,15567
8/16/2012,28,10,15568
8/17/2012,24,12,15569
8/18/2012,10,5,15570
8/19/2012,9,4,15571
8/20/2012,22,4,15572
8/21/2012,33,18,15573
8/22/2012,19,6,15574
8/23/2012,14,3,15575
8/24/2012,25,13,15576
8/25/2012,8,6,15577
8/26/2012,19,7,15578
8/27/2012,23,7,15579
8/28/2012,30,9,15580
8/29/2012,20,5,15581
8/30/2012,27,7,15582
8/31/2012,22,4,15583
9/1/2012,9,2,15584
9/2/2012,17,5,15585
9/3/2012,23,5,15586
9/4/2012,23,4,15587
9/5/2012,22,1,15588
9/6/2012,23,8,15589
9/7/2012,20,7,15590
9/8/2012,14,4,15591
9/9/2012,20,1,15592
9/10/2012,26,5,15593
9/11/2012,32,5,15594
9/12/2012,21,4,15595
9/13/2012,27,9,15596
9/14/2012,28,9,15597
9/15/2012,12,2,15598
9/16/2012,14,4,15599
9/17/2012,23,6,15600
9/18/2012,30,2,15601
9/19/2012,41,4,15602
9/20/2012,33,9,15603
9/21/2012,22,8,15604
9/22/2012,20,5,15605
9/23/2012,16,6,15606
9/24/2012,36,19,15607
9/25/2012,28,10,15608
9/26/2012,41,7,15609
9/27/2012,32,7,15610
9/28/2012,36,11,15611
9/29/2012,10,4,15612
9/30/2012,23,4,15613
10/1/2012,31,11,15614
10/2/2012,19,4,15615
10/3/2012,18,3,15616
10/4/2012,23,5,15617
10/5/2012,32,6,15618
10/6/2012,18,3,15619
10/7/2012,18,1,15620
10/8/2012,23,4,15621
10/9/2012,23,6,15622
10/10/2012,20,4,15623
10/11/2012,20,2,15624
10/12/2012,19,4,15625
10/13/2012,8,0,15626
10/14/2012,12,1,15627
10/15/2012,22,5,15628
10/16/2012,17,2,15629
10/17/2012,25,3,15630
10/18/2012,21,5,15631
10/19/2012,32,7,15632
10/20/2012,12,1,15633
10/21/2012,15,5,15634
10/22/2012,18,3,15635
10/23/2012,24,6,15636
10/24/2012,24,4,15637
10/25/2012,24,6,15638
10/26/2012,21,6,15639
10/27/2012,14,3,15640
10/28/2012,21,2,15641
10/29/2012,27,6,15642
10/30/2012,35,14,15643
10/31/2012,27,16,15644
11/1/2012,20,8,15645
11/2/2012,22,6,15646
11/3/2012,9,4,15647
11/4/2012,20,4,15648
11/5/2012,26,7,15649
11/6/2012,31,9,15650
11/7/2012,33,21,15651
11/8/2012,25,13,15652
11/9/2012,21,6,15653
11/10/2012,6,1,15654
11/11/2012,11,4,15655
11/12/2012,32,10,15656
11/13/2012,19,6,15657
11/14/2012,27,9,15658
11/15/2012,31,5,15659
11/16/2012,18,5,15660
11/17/2012,11,6,15661
11/18/2012,15,4,15662
11/19/2012,28,9,15663
11/20/2012,30,9,15664
11/21/2012,22,3,15665
11/22/2012,4,0,15666
11/23/2012,13,2,15667
11/24/2012,19,5,15668
11/25/2012,11,5,15669
11/26/2012,19,9,15670
11/27/2012,40,8,15671
11/28/2012,21,8,15672
11/29/2012,32,8,15673
11/30/2012,17,6,15674
12/1/2012,13,3,15675
12/2/2012,17,0,15676
12/3/2012,16,3,15677
12/4/2012,94,64,15678
12/5/2012,34,18,15679
12/6/2012,62,10,15680
12/7/2012,32,7,15681
12/8/2012,18,8,15682
12/9/2012,8,2,15683
12/10/2012,29,10,15684
12/11/2012,23,4,15685
12/12/2012,32,6,15686
12/13/2012,25,7,15687
12/14/2012,17,1,15688
12/15/2012,15,4,15689
12/16/2012,12,1,15690
12/17/2012,27,3,15691
12/18/2012,27,5,15692
12/19/2012,35,5,15693
12/20/2012,34,4,15694
12/21/2012,29,5,15695
12/22/2012,19,2,15696
12/23/2012,12,1,15697
12/24/2012,17,1,15698
12/25/2012,9,3,15699
12/26/2012,17,3,15700
12/27/2012,17,3,15701
12/28/2012,21,1,15702
12/29/2012,14,3,15703
12/30/2012,11,3,15704
12/31/2012,25,2,15705
